99	-15
196	-8
294	-5
391	-4
488	-10
585	-5
680	-2
777	-5
872	-9
969	-13
1066	-15
1163	-10
1260	-20
1357	-4
1454	-10
1551	2
1648	-10
1745	-9
1840	-9
1937	0
2034	0
2131	-9
2228	-15
2325	-5
2420	-9
2517	-15
2614	-5
2711	-20
2808	-15
2905	-5
3002	-5
3100	-15
3197	-25
3292	1
3389	-4
3486	-9
3581	-2
3678	0
3770	-13
3867	-15
3962	1
4011	1
4108	-10
4205	-5
4300	-14
4395	1
4490	2
4587	-14
4682	-3
4779	-20
4876	-5
4973	-10
5070	-10
5167	-15
5264	-9
5361	1
5456	1
5554	0
5649	1
5744	-3
5841	-15
5938	-8
6032	-4
6125	-14
6222	-20
6316	-7
6411	1
6507	-10
6599	8
6696	-10
6789	-5
6884	-9
6979	-14
7072	-9
7151	-29
7246	2
7339	1
7430	2
7523	1
7619	1
7715	-20
7811	-5
7870	-20
7966	-15
8001	0
8096	-5
8191	-10
8284	-3
8379	-4
8474	0
8569	1
8665	-15
8761	6
8854	-4
8950	-4
9043	-4
9138	-9
9230	2
9326	0
9422	-10
9518	-15
9614	-5
9707	1
9800	-4
9896	-5
9992	-5
10085	-14
10178	-9
10274	-15
10367	1
10460	1
10555	-15
10650	-10
10745	-10
10838	-9
10933	-15
11028	-10
11123	-15
11214	12
11309	-15
11404	-15
11499	-5
11595	-5
11684	8
11780	-10
11876	-15
11972	-10
12001	1
12091	4
12186	-3
12281	2
12374	2
12467	-4
12562	-5
12655	1
12744	1
12838	6
12934	-10
13027	-14
13118	-3
13214	-9
13307	-4
13401	1
13495	1
13591	-19
13683	2
13774	2
13867	7
13960	-3
14055	-15
14151	-5
14246	-4
14342	0
14438	-20
14531	6
14624	-14
14720	0
14816	1
14912	-22
15007	-1
15103	-3
15199	6
15295	6
15391	-3
15486	-10
15581	-9
15677	1
15773	-13
15869	6
15965	2
16001	0
16097	1
16193	6
16288	1
16384	6
16480	6
16576	-15
16672	2
16768	-9
16864	6
16960	-20
17056	6
17152	6
17248	-5
17341	-3
17437	-9
17532	-5
17627	-14
17723	1
17819	-4
17915	6
18009	11
18101	7
18191	13
18287	-10
18381	-3
18472	8
18567	-10
18661	-9
18742	-4
18830	7
